asset_id,title,launch_scope,priority,category,subcategory,current_status,problem_type,evidence_labels,evidence,used_by_scenes,used_by_prefabs,used_by_scripts,used_by_gameobjects,current_asset_path,replacement_type,target_asset_path,target_filename,archive_path,preserve_existing_meta,existing_meta_path,existing_guid,dependency_count,artifact_format,editable_source_format,runtime_width_px,runtime_height_px,master_width_px,master_height_px,sprite_mode,frame_count,frame_width_px,frame_height_px,frame_layout,pixels_per_unit,pivot_normalized_x,pivot_normalized_y,pivot_pixels_x,pivot_pixels_y,content_bounds_px,transparent_padding_px,alpha_requirement,colour_space,bit_depth,mesh_type,sprite_border_px,filter_mode,wrap_mode,mipmaps,compression,max_texture_size,platform_overrides,atlas_group,world_size,sorting_layer,order_in_layer,canvas_path,canvas_reference_resolution,recttransform_size,anchors,ui_pivot,anchored_position,image_type,minimum_touch_target,safe_area_rule,palette_hex,gradient_spec,outline_spec,shadow_spec,corner_radius_px,animation_states,fps,loop_rule,facing_direction,flipx_safe,reference_asset_paths,reference_screenshot_paths,generation_feasibility,requires_reference_image,requires_postprocess,requires_human_review,requires_unity_wiring,unity_wiring_steps,generation_prompt_path,negative_prompt_path,acceptance_criteria,licence_requirement,source_file_requirement,confidence,blocker,notes
ART-001,Google Play listing app icon,LAUNCH_REQUIRED,P0,commercial,store icon,MISSING (no store assets exist; P31 checklist blocked),MISSING;COMMERCIAL_STORE_ASSET,EXTERNAL-SPEC-VERIFIED;STATIC-INSPECTED,"support.google.com/googleplay/android-developer/answer/9866151 (fetched 2026-07-14): 512x512 32-bit PNG WITH alpha, max 1024KB; no StoreAssets/ dir exists",,,,,,MARKETING_ONLY,StoreAssets/Icons/,jebby_jump_icon_512.png,StoreAssets/Icons/jebby_jump_icon_512.png,n/a (outside Assets/),,,,PNG,layered source recommended (PSD/Affinity),512,512,1024,1024,,,,,,,,,,,,,RGBA (Play accepts alpha; Play masks corners itself),sRGB,32,,,,,,,,,,,,,,,,,,,,,,#E63838;#3878E6;#38BF59;#FAD12E;#9938E6;#F28C26;warm sky pastels,,,,none baked (Play applies mask),,,,,,Assets/_JebbyJump/Docs/Art/References/jebby_color_knight_character_sheet_v01.png;Assets/_JebbyJump/Docs/Art/References/jebby_outfit_variations_board_v01.png,ProductionArtAudit/evidence/screenshots/Game__PlayingHUD__1686x948__none__level1-timer-running.png,AI_REFERENCE_GUIDED,yes,yes (exact 512 resize + <=1024KB),yes (brand),no,,ProductionArtAudit/asset_briefs/ART-001.md,ProductionArtAudit/asset_briefs/ART-001.md#19,512x512 RGBA sRGB <=1024KB; Jebby face identity per locked sheet; readable at 48px,provenance record required,master 1024 kept,high,,
ART-002,Android adaptive icon foreground,LAUNCH_REQUIRED,P0,commercial,launcher icon layer,MISSING (all PlayerSettings icon slots m_Textures:[] - IMPORT-VERIFIED),MISSING;COMMERCIAL_STORE_ASSET,EXTERNAL-SPEC-VERIFIED;IMPORT-VERIFIED,"developer.android.com adaptive icons (fetched 2026-07-14): layers 108x108dp, inner 66dp safe zone, outer 18dp masked; ProjectSettings.asset icon arrays empty",,,,,,NEW_ASSET_REQUIRES_WIRING,Assets/_JebbyJump/Art/Icons/,ic_launcher_foreground_432.png,Assets/_JebbyJump/Art/Icons/ic_launcher_foreground_432.png,new file - Unity will create .meta on import,,,,PNG,,432,432,864,864,,,,,,,,,,,subject within centre 264x264 (66dp safe zone @4x); nothing critical outside,>=72px each side fully maskable (18dp @4x),RGBA transparent outside subject,sRGB,32,,,,,,,,,,,,,,,,,,,,,,#E63838;#3878E6;#38BF59;#FAD12E;#9938E6;#F28C26,,,,,,,,,,Assets/_JebbyJump/Docs/Art/References/jebby_color_knight_character_sheet_v01.png;Assets/_JebbyJump/Docs/Art/References/jebby_outfit_variations_board_v01.png,,AI_PLUS_DETERMINISTIC_POSTPROCESS,yes,yes (safe-zone bounds check + exact canvas),yes,yes,PlayerSettings > Android > Adaptive icon foreground slot (or extend Apply Approved Build Config); rebuild AAB; re-run preflight,ProductionArtAudit/asset_briefs/ART-002.md,,432x432 RGBA; Jebby head/badge inside 264px centre circle; survives circle+squircle masks,provenance record required,master kept,high,,
ART-003,Android adaptive icon background,LAUNCH_REQUIRED,P0,commercial,launcher icon layer,MISSING,MISSING;COMMERCIAL_STORE_ASSET,EXTERNAL-SPEC-VERIFIED;IMPORT-VERIFIED,same as ART-002; background layer required,,,,,,NEW_ASSET_REQUIRES_WIRING,Assets/_JebbyJump/Art/Icons/,ic_launcher_background_432.png,Assets/_JebbyJump/Art/Icons/ic_launcher_background_432.png,new file,,,,PNG,,432,432,864,864,,,,,,,,,,,,,fully opaque,sRGB,24,,,,,,,,,,,,,,,,,,,,,,soft sky gradient sampled from bg_sky_layer_01.png pastels,"vertical soft pastel (top lighter), edge-to-edge, no focal detail (18dp margins masked/parallaxed)",,,,,,,,,Assets/_JebbyJump/Art/Sprites/Backgrounds/bg_sky_layer_01.png,,AI_DIRECT,yes,"yes (exact canvas, strip alpha)",no,yes,PlayerSettings adaptive background slot; rebuild,ProductionArtAudit/asset_briefs/ART-003.md,,432x432 opaque; no detail that breaks when masked/panned,provenance record,master kept,high,,
ART-004,Play feature graphic,LAUNCH_REQUIRED,P0,commercial,store graphic,MISSING (P31 blocked item),MISSING;COMMERCIAL_STORE_ASSET,EXTERNAL-SPEC-VERIFIED,"Play listing spec (fetched 2026-07-14): 1024x500 JPEG or 24-bit PNG, NO alpha",,,,,,MARKETING_ONLY,StoreAssets/Feature/,jebby_jump_feature_1024x500.png,StoreAssets/Feature/jebby_jump_feature_1024x500.png,n/a,,,,"PNG (24-bit, no alpha)",,1024,500,2048,1000,,,,,,,,,,,,,NO alpha (opaque),sRGB,24,,,,,,,,,,,,,,,,,,,,,keep wordmark/subject in centre ~80% (edges may crop in some Play placements),#E63838;#3878E6;#38BF59;#FAD12E;#9938E6;#F28C26;pastel sky,,,,,,,,,,Assets/_JebbyJump/Docs/Art/References/jebby_color_knight_character_sheet_v01.png;Assets/_JebbyJump/Docs/Art/References/jebby_outfit_variations_board_v01.png,ProductionArtAudit/evidence/screenshots/Game__PlayingHUD__1686x948__none__level1-timer-running.png,AI_REFERENCE_GUIDED,yes,"yes (exact canvas, alpha strip)",yes (brand),no,,ProductionArtAudit/asset_briefs/ART-004.md,,1024x500 opaque; Jebby identity; no baked UI/claims text; wordmark optional (needs ART-010 first),provenance record,master kept,high,,
ART-005,Gameplay floor/start strip sprite,LAUNCH_REQUIRED,P1,platform,ground strip,"PLACEHOLDER IN PRODUCTION: Floor renders Placeholder.png 32x32 tinted #F2EBD9, scaled 37.64x0.5",PLACEHOLDER_REPLACEMENT,DEPENDENCY-VERIFIED;RUNTIME-OBSERVED;FILE-MEASURED,Game.unity Floor SpriteRenderer sprite guid d0440e8857eb55c45bdf8508fee4ebdd = Placeholder.png; visible cream band in review screenshots,Game.unity,,,Floor,Assets/_JebbyJump/Art/Sprites/Placeholder.png,NEW_ASSET_REQUIRES_WIRING,Assets/_JebbyJump/Art/Sprites/Platforms/,spr_floor_strip_01.png,Assets/_JebbyJump/Art/Sprites/Platforms/spr_floor_strip_01.png,new file,,,,PNG,,512,128,1024,256,Single,,,,,100,0.5,1.0,,,,,RGBA (soft top edge OK); tileable horizontally,sRGB,32,,,,Repeat (drawMode Tiled),,,,,,~37.6 x 0.16 world units today (BLOCKED - DESIGN DECISION: keep thin strip vs taller grassy ledge; affects height),,,,,,,,,,,,#F2EBD9 cream base (current tint) + soft pastel grass/cloud accent,,,,,,,,,,Assets/_JebbyJump/Art/Sprites/Backgrounds/bg_sky_layer_01.png,ProductionArtAudit/evidence/screenshots/Game__PlayingHUD__1686x948__none__level1-timer-running.png,AI_PLUS_DETERMINISTIC_POSTPROCESS,yes,yes (seamless-tile check),no,yes,assign to Floor SpriteRenderer (drawMode Tiled recommended); reset tint to white; adjust scale; keep collider unchanged; then delete Placeholder.png,ProductionArtAudit/asset_briefs/ART-005.md,,tiles seamlessly on X; reads as ground vs sky; doesn't fight platform colours,provenance record,master kept,medium,height/style needs 1 design decision (thin strip vs ledge),
ART-006,Main-menu background,LAUNCH_REQUIRED,P1,background,menu,MISSING (flat navy camera clear colour),MISSING,RUNTIME-OBSERVED;LIVE-INSPECTED,review screenshot MainMenu__MainMenu__...png: flat blue; no background object in hierarchy,MainMenu.unity,,,,,NEW_ASSET_REQUIRES_WIRING,Assets/_JebbyJump/Art/Sprites/Backgrounds/,bg_menu_01.png,Assets/_JebbyJump/Art/Sprites/Backgrounds/bg_menu_01.png,new file,,,,PNG,,2400,1080,2400,1080,,,,,,,,,,,,,opaque,sRGB,24,,,,,,,,,,,,,"MainMenuCanvas (Screen Space Overlay, ref 1920x1080)",1920x1080,,,,,"Simple, preserveAspect envelope-fill",,20:9 coverage (2400 wide) so 16:9..20:9 crop safely; keep focal art centre-right (menu stack centre),pastel sky family of bg_sky_layer_01,,,,,,,,,,Assets/_JebbyJump/Art/Sprites/Backgrounds/bg_sky_layer_01.png;Assets/_JebbyJump/Docs/Art/References/jebby_color_knight_character_sheet_v01.png;Assets/_JebbyJump/Docs/Art/References/jebby_outfit_variations_board_v01.png,,AI_REFERENCE_GUIDED,yes,yes (exact canvas),no,yes,add full-screen Image behind TitleText in MainMenuCanvas (first sibling); assign sprite; envelope scaling,ProductionArtAudit/asset_briefs/ART-006.md,,menu text readable on top (contrast); style-matched to gameplay sky,provenance record,master kept,high,,
ART-007,Shell UI panel (9-slice),LAUNCH_REQUIRED,P1,ui,panel/card chrome,"PLACEHOLDER: all shell panels/cards use Unity built-in UISprite tinted (0.15,0.15,0.2)",PLACEHOLDER_REPLACEMENT,STATIC-INSPECTED;RUNTIME-OBSERVED,scaffold sources (BuildGameShellCanvas.cs:132 etc.) tint built-in sprite; flat rects in all review shots,MainMenu.unity;Game.unity,,,,,NEW_ASSET_REQUIRES_WIRING,Assets/_JebbyJump/Art/Sprites/UI/,ui_panel_soft_9s.png,Assets/_JebbyJump/Art/Sprites/UI/ui_panel_soft_9s.png,new file,,,,PNG,,256,256,512,512,Single (9-sliced),,,,,100,,,,,,,RGBA (soft outer shadow optional),sRGB,32,,BLOCKED - derive from generated corner radius; candidate 64px all sides on 256 canvas,,,,,,,,,,,,,,,,,Sliced,,,"deep neutral #262633 body + light border, per Art Bible rounded/soft",,,,candidate 48 (OPEN_SCOPE_DECISION - no approved radius system exists),,,,,,Assets/_JebbyJump/Art/Sprites/UI/ui_btn_jump.png (style anchor);Assets/_JebbyJump/Docs/Art/References/jebby_color_knight_character_sheet_v01.png;Assets/_JebbyJump/Docs/Art/References/jebby_outfit_variations_board_v01.png,,VECTOR_OR_CODE_GENERATION_PREFERRED,yes,yes (uniform corners; stretch-region flatness check),no,yes,"set 9-slice borders in Sprite Editor; swap Image sprites on panels/cards (scene edit, multiple objects); keep tint white",ProductionArtAudit/asset_briefs/ART-007.md,,stretch regions perfectly flat; corners identical; readable text contrast,n/a shape,vector source preferred,medium,corner-radius system = OPEN_SCOPE_DECISION,
ART-008,Shell UI pill button (9-slice),LAUNCH_REQUIRED,P1,ui,button chrome,"PLACEHOLDER: built-in UISprite tinted (0.2,0.2,0.25)",PLACEHOLDER_REPLACEMENT,STATIC-INSPECTED;RUNTIME-OBSERVED,scaffold tints; flat rect buttons in all shell screenshots; Art Bible requires pill-style,MainMenu.unity;Game.unity,,,,,NEW_ASSET_REQUIRES_WIRING,Assets/_JebbyJump/Art/Sprites/UI/,ui_btn_pill_9s.png,Assets/_JebbyJump/Art/Sprites/UI/ui_btn_pill_9s.png,new file,,,,PNG,,256,96,512,192,Single (9-sliced),,,,,,,,,,,,RGBA,sRGB,32,,left/right 48 top/bottom 40 on 256x96 (candidate; pill =半 height radius),,,,,,,,,,,,,,,,,Sliced,90 canvas units (ShellLayoutMetrics single-source),,state via Unity tint (Normal white base art; pressed/disabled tints) - single bitmap,,,,"48 (= half of 96 height, true pill)",,,,,,Assets/_JebbyJump/Art/Sprites/UI/ui_btn_jump.png;Assets/_JebbyJump/Docs/Art/References/jebby_color_knight_character_sheet_v01.png;Assets/_JebbyJump/Docs/Art/References/jebby_outfit_variations_board_v01.png,,VECTOR_OR_CODE_GENERATION_PREFERRED,yes,yes,no,yes,9-slice borders; swap Button Image sprites across shell; verify tint-based states + focus ring still read,ProductionArtAudit/asset_briefs/ART-008.md,,pill silhouette; flat stretch centre; >=90u touch preserved,n/a,vector preferred,medium,,
ART-009,Play store screenshots (set of 4+),LAUNCH_REQUIRED,P0,commercial,store screenshots,MISSING (P31 ScreenshotStatus=CaptureRequired),MISSING;COMMERCIAL_STORE_ASSET,EXTERNAL-SPEC-VERIFIED,"Play spec (2026-07-14): min 2, JPEG/24-bit PNG no alpha, 320..3840px, max<=2x min; promo rec: >=4 at 1920x1080 landscape",,,,,,MARKETING_ONLY,StoreAssets/Screenshots/,shot_01_gameplay.png .. shot_04_wardrobe.png,StoreAssets/Screenshots/,,,,,PNG 24-bit no alpha,,1920,1080,,,,,,,,,,,,,,,NO alpha,sRGB,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HUMAN_ARTIST_REQUIRED,n/a,optional caption frames only,yes,no,none - REAL captures from the game (never AI-fabricated gameplay; Play policy + honesty),ProductionArtAudit/asset_briefs/ART-009.md,,real gameplay/wardrobe/menu frames at 1920x1080 AFTER ART-005..008 land; truthful,own captures,raw captures kept,high,capture after UI kit lands; needs focused editor or device,
ART-010,Jebby Jump wordmark / logo,LAUNCH_REQUIRED,P1,brand,wordmark,MISSING (title = plain LiberationSans TMP text),MISSING,RUNTIME-OBSERVED;STATIC-INSPECTED,MainMenu TitleText is TMP with default font; store listing + feature graphic + splash all want a mark,,,,,,NEW_ASSET_REQUIRES_WIRING,Assets/_JebbyJump/Art/Sprites/UI/,ui_wordmark_jebbyjump.png,Assets/_JebbyJump/Art/Sprites/UI/ui_wordmark_jebbyjump.png,new file,,,,PNG (+ SVG master required),SVG/vector REQUIRED,1200,400,2400,800,,,,,,,,,,,,,RGBA,sRGB,32,,,,,,,,,,,,,,,,,,,,,,rainbow-gem accent on warm letters; must pass on pastel sky AND dark panel,,,,,,,,,,Assets/_JebbyJump/Docs/Art/References/jebby_color_knight_character_sheet_v01.png;Assets/_JebbyJump/Docs/Art/References/jebby_outfit_variations_board_v01.png,,LEGAL_OR_BRAND_REVIEW_REQUIRED,yes,yes,"yes (brand+legal: lettering originality, trademark search)",yes,replace TitleText TMP with Image (or add above); optional Unity splash logo slot; store reuse,ProductionArtAudit/asset_briefs/ART-010.md,,readable at 200px wide; child-friendly rounded letterforms; vector master delivered,original lettering or licensed display font (record it),SVG master REQUIRED,medium,brand/legal review before store use,
ART-011,Bubble Shield skill icon,LAUNCH_RECOMMENDED,P2,item/skill,HUD skill icon,MISSING - Skill2Icon reuses ui_btn_bg.png (generic circle),MISSING;INCOMPLETE_STATE_SET,DEPENDENCY-VERIFIED;RUNTIME-OBSERVED,Game.unity Skill2Icon m_Sprite -> ui_btn_bg guid; plain orb in HUD screenshots,Game.unity,,,Btn_Skill2/Skill2Icon,,NEW_ASSET_REQUIRES_WIRING,Assets/_JebbyJump/Art/Sprites/UI/,ui_icon_skill_shield_01.png,Assets/_JebbyJump/Art/Sprites/UI/ui_icon_skill_shield_01.png,,,,,PNG,,256,256,512,512,,,,,,100,0.5,0.5,,,,,"RGBA, transparent corners",sRGB,32,,,,,,,,,,,,,,,~70x70 canvas units inside 100u button (match RocketBootsIcon layout),,,,,,,aqua/blue bubble on gold-trim style of existing controls,,,,,,,,,,Assets/_JebbyJump/Art/Sprites/UI/ui_btn_jump.png;Assets/_JebbyJump/Art/Sprites/Items/spr_item_rocket_boots_01.png,,AI_REFERENCE_GUIDED,yes,yes,no,yes,assign to Skill2Icon Image in Game.unity,ProductionArtAudit/asset_briefs/ART-011.md,,reads as shield/bubble at 70px; style-matched to rocket boots icon,provenance record,master kept,high,,
ART-012,Health Potion skill icon,LAUNCH_RECOMMENDED,P2,item/skill,HUD skill icon,MISSING - Skill3Icon reuses ui_btn_bg.png,MISSING,DEPENDENCY-VERIFIED;RUNTIME-OBSERVED,Game.unity Skill3Icon m_Sprite -> ui_btn_bg guid,Game.unity,,,Btn_Skill3/Skill3Icon,,NEW_ASSET_REQUIRES_WIRING,Assets/_JebbyJump/Art/Sprites/UI/,ui_icon_skill_potion_01.png,Assets/_JebbyJump/Art/Sprites/UI/ui_icon_skill_potion_01.png,,,,,PNG,,256,256,512,512,,,,,,,,,,,,,RGBA transparent corners,sRGB,32,,,,,,,,,,,,,,,,,,,,,,warm red/pink heart-potion; child-safe (no medical cross),,,,,,,,,,Assets/_JebbyJump/Art/Sprites/UI/ui_icon_life_01.png;Assets/_JebbyJump/Art/Sprites/Items/spr_item_rocket_boots_01.png,,AI_REFERENCE_GUIDED,yes,yes,no,yes,assign to Skill3Icon Image in Game.unity,ProductionArtAudit/asset_briefs/ART-012.md,,reads as potion at 70px; heart motif ties to lives,provenance record,master kept,high,,
ART-013,Bubble shield VFX sprite,LAUNCH_RECOMMENDED,P2,vfx,skill effect,PLACEHOLDER - BubbleShieldEffect renders ui_btn_right.png (an ARROW),PLACEHOLDER_REPLACEMENT,DEPENDENCY-VERIFIED,Game.unity BubbleShieldEffect m_Sprite -> ui_btn_right guid,Game.unity,,,BubbleShieldEffect,,NEW_ASSET_REQUIRES_WIRING,Assets/_JebbyJump/Art/Sprites/VFX/,fx_bubble_shield_01.png,Assets/_JebbyJump/Art/Sprites/VFX/fx_bubble_shield_01.png,,,,,PNG,,512,512,,,,,,,,100,,,,,,,"RGBA soft translucent bubble (centre ~30% alpha, rim brighter)",sRGB,32,,,,,,,,,,~2.6 world units diameter (encircles 1122px/PPU100*~0.23 scale Jebby - verify live at wiring time),,,,,,,,,,,,#3878E6 family translucent + white rim highlights,,,,,,,,,,Assets/_JebbyJump/Docs/Art/References/jebby_color_knight_character_sheet_v01.png;Assets/_JebbyJump/Docs/Art/References/jebby_outfit_variations_board_v01.png,,AI_PLUS_DETERMINISTIC_POSTPROCESS,no,yes (radial symmetry/alpha profile),no,yes,assign to BubbleShieldEffect SpriteRenderer; keep tint/animation code unchanged,ProductionArtAudit/asset_briefs/ART-013.md,,reads as protective bubble over Jebby; not opaque (gameplay visible through),provenance record,master kept,medium,,
ART-014,Color echo ring VFX sprite,LAUNCH_RECOMMENDED,P2,vfx,skill effect,PLACEHOLDER - ColorEchoEffect renders ui_btn_bg.png,PLACEHOLDER_REPLACEMENT,DEPENDENCY-VERIFIED,Game.unity ColorEchoEffect m_Sprite -> ui_btn_bg guid,Game.unity,,,ColorEchoEffect,,NEW_ASSET_REQUIRES_WIRING,Assets/_JebbyJump/Art/Sprites/VFX/,fx_color_echo_ring_01.png,Assets/_JebbyJump/Art/Sprites/VFX/fx_color_echo_ring_01.png,,,,,PNG,,512,512,,,,,,,,100,,,,,,,RGBA ring (hollow centre) so runtime tint drives the colour,sRGB,32,,,,,,,,,,,,,,,,,,,,,,WHITE/neutral ring art - tinted at runtime to the platform semantic colours,,,,,,,,,,,,VECTOR_OR_CODE_GENERATION_PREFERRED,no,yes (perfect circle),no,yes,assign to ColorEchoEffect SpriteRenderer,ProductionArtAudit/asset_briefs/ART-014.md,,neutral base tints cleanly to all 6 platform colours,n/a,vector preferred,high,,
ART-015,Adaptive icon monochrome layer,LAUNCH_RECOMMENDED,P2,commercial,launcher icon layer,MISSING (optional per Android docs),MISSING;COMMERCIAL_STORE_ASSET,EXTERNAL-SPEC-VERIFIED,"Android adaptive icon docs: monochrome optional, recommended for Android 13+ theming",,,,,,NEW_ASSET_REQUIRES_WIRING,Assets/_JebbyJump/Art/Icons/,ic_launcher_monochrome_432.png,Assets/_JebbyJump/Art/Icons/ic_launcher_monochrome_432.png,,,,,PNG,,432,432,,,,,,,,,,,,,inside centre 264x264 like ART-002,,single-colour silhouette on transparency (alpha only),sRGB,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI_PLUS_DETERMINISTIC_POSTPROCESS,yes (ART-002 output),yes (flatten to single colour + alpha),no,yes,Unity Android icon monochrome slot (if exposed) or Gradle template note,ProductionArtAudit/asset_briefs/ART-015.md,,recognizable Jebby silhouette in one colour,n/a derived,derived from ART-002 master,high,,
ART-016,Marketing key art,LAUNCH_RECOMMENDED,P2,commercial,key art,MISSING,MISSING;COMMERCIAL_STORE_ASSET,DOC-REQUIRED,P31 store package + press needs; no marketing art exists anywhere in repo,,,,,,MARKETING_ONLY,Marketing/KeyArt/,jebby_jump_keyart_3840x2160.png,Marketing/KeyArt/jebby_jump_keyart_3840x2160.png,,,,,PNG,,3840,2160,3840,2160,,,,,,,,,,,,,opaque,sRGB,24,,,,,,,,,,,,,,,,,,,,,,full locked palette; rainbow-tower motif,,,,,,,,,,Assets/_JebbyJump/Docs/Art/References/jebby_color_knight_character_sheet_v01.png;Assets/_JebbyJump/Docs/Art/References/jebby_outfit_variations_board_v01.png,,AI_REFERENCE_GUIDED,yes,yes,yes (brand),no,,ProductionArtAudit/asset_briefs/ART-016.md,,Jebby identity exact; reusable crop for feature graphic,provenance record,layered master kept,medium,,
ART-017,Cactus warning/contact variant,LAUNCH_RECOMMENDED,P3,obstacle,hazard state,single static cactus only,INCOMPLETE_STATE_SET,STATIC-INSPECTED;DOC-REQUIRED,GDD hazards; spr_cactus_obstacle_01.png sole variant; no anticipation/contact art,Game.unity (spawned),,,,Assets/_JebbyJump/Art/Sprites/Obstacles/spr_cactus_obstacle_01.png,NEW_ASSET_REQUIRES_WIRING,Assets/_JebbyJump/Art/Sprites/Obstacles/,spr_cactus_obstacle_warn_01.png,Assets/_JebbyJump/Art/Sprites/Obstacles/spr_cactus_obstacle_warn_01.png,,,,,PNG,,1254,1254,,,,,,,,match existing 1254 (or re-export BOTH to PPU 100 - see integration note),0.5,0.0,,,,,RGBA transparent corners,sRGB,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assets/_JebbyJump/Art/Sprites/Obstacles/spr_cactus_obstacle_01.png,,AI_REFERENCE_GUIDED,yes,yes (bounds match base cactus),no,yes,requires code: swap/flash on anticipation (design decision),ProductionArtAudit/asset_briefs/ART-017.md,,same silhouette+bounds as base; friendly non-scary warning read,provenance record,master kept,low,needs gameplay design decision on anticipation behaviour,
